method,chunkNo #,length,content,content 
NLTK,23,174,"Implemented an advanced search feature with filter support using React.js, incorporating backend query optimization and
caching to ensure high performance and responsiveness.",
NLTK,24,199,"Capgemini | Kolkata
Consultant | 08/2018 - 05/2021
Refactored a monolithic standalone application into a microservices-based architecture to improve scalability,
maintainability, and user experience.",
NLTK,25,122,Actively participated in design discussions and provided clarifications to ensure a shared understanding of project goals.,
NLTK,26,141,"Refactored a monolithic web application into a microservices-based architecture to improve scalability, maintainability,
and user experience.",
NLTK,27,132,"Utilized Angular framework for the frontend and Kafka for asynchronous operations, enabling more responsive and
efficient workflows.",
NLTK,28,123,"Implemented real-time position tracking using the Google Maps API, enhancing the application's interactivity and
usability.",
NLTK,29,151,"Consistently adhered to and applied agile practices within the team, ensuring iterative progress and fostering a
collaborative development environment.",
NLTK,30,110,"Infosys | Bangalore
Technology Analyst | 07/2017 - 08/2018
Involved requirement analysis and code development.",
NLTK,31,64,Involved in development of python service to automate processes.,
NLTK,32,208,"IBM | Bangalore
Associate System Engineer | 12/2014 - 07/2017
Delivered new and complex high-quality solutions to clients in response to varying business requirements Involvement in
deployment of application.",
NLTK,33,126,"Involved in the development of Linux scripts for log monitoring, deleting, taking backup of necessary les and running
batches.",
NLTK,34,56,Monitored system issue to ensure higher quality service.,
NLTK,35,170,"Awards
Surge Award (Thomson Reuters,2023) - For consistently deliver outstanding results in demanding circumstances,
demonstrating dedication, and problem-solving skills.",
NLTK,36,105,"Project Star (Capgemini,2019) - For exceptional project performance, innovation, and client satisfaction.",
NLTK,37,141,"Manager's Choice Award for Put the Client First, Deep Skill Adder Award (IBM,2016) - For enhancing expertise and
contribute to IBM's success.",
NLTK,38,182,"Manager's Choice Award for Restlessly Reinvent IBM and Ourselves (IBM,2015) - For innovation, adapt to change,
and foster collaboration, leading to significant business improvements.",
NLTK,39,1704,"Education
West Bengal University of Technology | Kolkata
Computer Science & Engineering | 03/2013
Languages
English, Hindi, Bengali

        <!DOCTYPE html>
        <html lang=""en"">
        <head>
            <meta charset=""UTF-8"">
            <title>Technical Skills Overview</title>
            
        </head>
        <body>

            <h1>Technical Skills Overview</h1>

            <table>
                <tr>
                    <th>Programming Languages & Frameworks</th>
                    <td>Java, J2EE, Spring (Spring Framework), React JS, Express JS</td>
                </tr>
                <tr>
                    <th>Architecture & Design</th>
                    <td>Microservices Architecture, RDBMS (Relational Database Management Systems), NoSQL (Hands-on experience)</td>
                </tr>
                <tr>
                    <th>Messaging & Integration</th>
                    <td>Kafka (Event Streaming Platform)</td>
                </tr>
                <tr>
                    <th>Containerization & Deployment</th>
                    <td>Docker (Containerization Platform)</td>
                </tr>
                <tr>
                    <th>DevOps & Continuous Delivery</th>
                    <td>CI/CD (Continuous Integration / Continuous Deployment)</td>
                </tr>
                <tr>
                    <th>Cloud Technology</th>
                    <td>Hands-on experiences on AWS, Azure</td>
                </tr>
                <tr>
                    <th>AI/ML</th>
                    <td>LLMs Integration (Hands-on experience with Gemini / ChatGPT)</td>
                </tr>
            </table>

        </body>
        </html>",
HTML,1,25,,Technical Skills Overview
HTML,2,571,,"Programming Languages & Frameworks  
Java, J2EE, Spring (Spring Framework), React JS, Express JS  
Architecture & Design  
Microservices Architecture, RDBMS (Relational Database Management Systems), NoSQL (Hands-on experience)  
Messaging & Integration  
Kafka (Event Streaming Platform)  
Containerization & Deployment  
Docker (Containerization Platform)  
DevOps & Continuous Delivery  
CI/CD (Continuous Integration / Continuous Deployment)  
Cloud Technology  
Hands-on experiences on AWS, Azure  
AI/ML  
LLMs Integration (Hands-on experience with Gemini / ChatGPT)"
MARKDOWN,1,7138,,"Profiles
LinkedIn : https://www.linkedin.com/in/soumyabrata-sarkar/
Github : https://github.com/scode24
Summary
Senior Software Engineer with 11 years of experience designing, testing, and developing software solutions. In-depth
understanding of web technologies with focus on delivering innovative business solutions. Excels in fast-paced, high-energy
and deadline-driven environment with willingness to take on additional tasks.Passionate about leveraging AI and machine
learning to drive innovation and solve complex problems.
Skills
Programming Languages & Frameworks : Java, J2EE, Spring (Spring Framework), React JS, Express JS
Architecture & Design : Microservices Architecture, RDBMS (Relational Database Management Systems), NoSQL
(Hands-on experience)
Messaging & Integration : Kafka (Event Streaming Platform)
Containerization & Deployment : Docker (Containerization Platform)
DevOps & Continuous Delivery : CI/CD (Continuous Integration / Continuous Deployment)
Cloud Technology : Hands-on experiences on AWS, Azure
AI/ML : LLMs Integration (Hands-on experience with Gemini / ChatGPT)
Experience
OpenText | Bangalore
Senior Software Engineer | 08/2023 - Present
Implemented a secure hashing mechanism in the project workflow. Introduced a new hashing method (HMAC-256/512) to
enhance data protection, achieving a 25% improvement in data processing efficiency while ensuring compliance with PCI
DSS v4.0 guidelines.
Resolved critical production issues by conducting an in-depth analysis and optimization of JVM configurations, including
heap space, thread usage, and garbage collection settings. This resulted in a 40% reduction in server crashes and
improved system stability.
Optimized API performance by refactoring API code for bulk API calls, improving response times by 30% and increasing
throughput by 25%, directly benefiting over 1 million API requests per day.
Automated performance testing by developing custom scripts to automate performance testing for SOAP and REST
APIs. Created 10+ comprehensive JMeter scripts that supported load testing for up to 100,000 concurrent users,
significantly reducing manual testing time.
Developed a web application using React.js and Spring Boot with JPA to track and query log data for specific time
periods, enabling efficient log monitoring and analysis.
Built an internal monitoring tool for tracking the status of SPP servers in the development environment. Implemented key
functionalities such as starting, stopping, and checking the status of services. Utilized React.js for the frontend and
Express.js to handle RESTful API calls on the backend.
Worked on in-house RAG-based chatbot using LangChain, JavaScript APIs, and a vector database.
Built a POC integrating Gemini/ChatGPT APIs to fetch contextual responses, perform computations based on output, and
display results in the UI; later migrated to internal LLM using Llama.
Thomson Reuters | Bangalore
Senior Software Engineer | 05/2021 - 08/2023
Led architectural redesigns, including implementing event-driven architecture, which improved system scalability by 50%
and reduced operational latency by 30%, handling over 2 million daily transactions seamlessly.
Played a key role in planning, task breakdown, resource allocation, and risk mitigation, resulting in the on-time delivery of
95% of project milestones. Ensured quality control that led to a 20% reduction in post-delivery defects across 10+ critical
projects.
Soumyabrata Sarkar
+91-8088844081 / +91-9535592494 | sarkar.soumyabrata2@gmail.com | Bangalore
Optimized project workflows and delivery support processes, reducing delivery turnaround time and increasing customer
satisfaction scores by 30%. Maintained 100% on-time delivery for high-priority client projects.
Resolved UI bugs to enhance the overall user experience and improve interface usability.
Implemented an advanced search feature with filter support using React.js, incorporating backend query optimization and
caching to ensure high performance and responsiveness.
Capgemini | Kolkata
Consultant | 08/2018 - 05/2021
Refactored a monolithic standalone application into a microservices-based architecture to improve scalability,
maintainability, and user experience.
Actively participated in design discussions and provided clarifications to ensure a shared understanding of project goals.
Refactored a monolithic web application into a microservices-based architecture to improve scalability, maintainability,
and user experience.
Utilized Angular framework for the frontend and Kafka for asynchronous operations, enabling more responsive and
efficient workflows.
Implemented real-time position tracking using the Google Maps API, enhancing the application's interactivity and
usability.
Consistently adhered to and applied agile practices within the team, ensuring iterative progress and fostering a
collaborative development environment.
Infosys | Bangalore
Technology Analyst | 07/2017 - 08/2018
Involved requirement analysis and code development.
Involved in development of python service to automate processes.
IBM | Bangalore
Associate System Engineer | 12/2014 - 07/2017
Delivered new and complex high-quality solutions to clients in response to varying business requirements Involvement in
deployment of application.
Involved in the development of Linux scripts for log monitoring, deleting, taking backup of necessary les and running
batches.
Monitored system issue to ensure higher quality service.
Awards
Surge Award (Thomson Reuters,2023) - For consistently deliver outstanding results in demanding circumstances,
demonstrating dedication, and problem-solving skills.
Project Star (Capgemini,2019) - For exceptional project performance, innovation, and client satisfaction.
Manager's Choice Award for Put the Client First, Deep Skill Adder Award (IBM,2016) - For enhancing expertise and
contribute to IBM's success.
Manager's Choice Award for Restlessly Reinvent IBM and Ourselves (IBM,2015) - For innovation, adapt to change,
and foster collaboration, leading to significant business improvements.
Education
West Bengal University of Technology | Kolkata
Computer Science & Engineering | 03/2013
Languages
English, Hindi, Bengali  
<!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""UTF-8"">
<title>Technical Skills Overview</title>  
</head>
<body>  
<h1>Technical Skills Overview</h1>  
<table>
<tr>
<th>Programming Languages & Frameworks</th>
<td>Java, J2EE, Spring (Spring Framework), React JS, Express JS</td>
</tr>
<tr>
<th>Architecture & Design</th>
<td>Microservices Architecture, RDBMS (Relational Database Management Systems), NoSQL (Hands-on experience)</td>
</tr>
<tr>
<th>Messaging & Integration</th>
<td>Kafka (Event Streaming Platform)</td>
</tr>
<tr>
<th>Containerization & Deployment</th>
<td>Docker (Containerization Platform)</td>
</tr>
<tr>
<th>DevOps & Continuous Delivery</th>
<td>CI/CD (Continuous Integration / Continuous Deployment)</td>
</tr>
<tr>
<th>Cloud Technology</th>
<td>Hands-on experiences on AWS, Azure</td>
</tr>
<tr>
<th>AI/ML</th>
<td>LLMs Integration (Hands-on experience with Gemini / ChatGPT)</td>
</tr>
</table>  
</body>
</html>"
